path1,path2,label
id10292/16cc3b2548290b3be6a59b9cb45b75d5.flac,id10292/608b845321d37bb4fbffc8c9caa95e87.flac,1
id10292/16cc3b2548290b3be6a59b9cb45b75d5.flac,id10283/de00dceb5213ad7ea5bfad9776f31e2d.flac,0
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10292/bfb02934b2753b411b2f9e9b47d77e40.flac,1
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10302/0424ecd9571a10fcc7909dcf890f703e.flac,0
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10292/70000127364b805136f6f8a320f2999a.flac,1
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10273/d773a87b4d963ff8112ed8651c14e8af.flac,0
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10292/f3d473ff32a6aef76349d31b5c2b8acf.flac,1
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10289/bef122e9803db10d4966eeeadb09e476.flac,0
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10292/19c8f7abfa9e2007bdb3a370f0e97619.flac,1
id10292/63ecfad3525f0ee8f3e0086d6f2f8f03.flac,id10295/43fe348c1979d064dc20840121f02acb.flac,0
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10292/236797350c1262c266f29797706a2725.flac,1
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10308/65949a2629880138e4ce2bbe95f683ea.flac,0
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10292/66390ac79e0d268f2de3924dd789f64a.flac,1
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10297/05642497c326d28ecf37317e382d9f80.flac,0
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10292/5cf85594032a89b680db93edef759eed.flac,1
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10292/2b5a121821cf37a268116bc5cd100618.flac,1
id10292/2845c5bb88ec253770f49839a36763ed.flac,id10308/249d4e592dc7f6da3374b2d03445f95e.flac,0
id10292/3786c10935e097de127573968c59b694.flac,id10292/da9382f27319050018f424f207c6e480.flac,1
id10292/3786c10935e097de127573968c59b694.flac,id10296/5ee2537f692a1e714bc52c38e0115ce3.flac,0
id10292/3786c10935e097de127573968c59b694.flac,id10292/42583426056b93492719f09fab2a927b.flac,1
id10292/3786c10935e097de127573968c59b694.flac,id10289/c17d6590ab1509e8ab153b4c58f96af1.flac,0
id10292/3786c10935e097de127573968c59b694.flac,id10292/3b7e4aa51beb5bfd090176c412571785.flac,1
id10292/3786c10935e097de127573968c59b694.flac,id10291/1109247aaf162569f04a7b33356dde3c.flac,0
id10292/3786c10935e097de127573968c59b694.flac,id10292/5b675d86e1b96aa4201e7ab5fd859516.flac,1
id10292/3786c10935e097de127573968c59b694.flac,id10273/14ee14e4dcd1350138dd8f285fa96f3d.flac,0
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10292/760d20c7b5367c96367549514a1c1c4b.flac,1
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10309/b46acd4e50dd98e2c169b1fd976bcb83.flac,0
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10292/4cc043ad3054291e5060d31a6978477b.flac,1
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10298/effbb73e8c153c0dd3534d17044b753c.flac,0
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10292/4354a9504fc395d750d334b2df5da5d2.flac,1
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10270/e70e77de79e90afc7da300652adc5e7f.flac,0
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10292/64b60ef486b3d9efe9756109a01007c1.flac,1
id10292/51e381d797247ed896f14db63d2d6bcb.flac,id10277/00743052c92ae3967da24e95b95da3ff.flac,0
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10292/169e8e07ec3db039da533655e3910c12.flac,1
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10279/33deb561bd028b44ee066abed4376ce8.flac,0
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10292/ccbcbeca175ae3c2a6c202e82d59315e.flac,1
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10279/43e1ea7a6aaa41c8b765f3f86ae42bcb.flac,0
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10292/26679dde48a264ee225f557d952ac3eb.flac,1
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10304/70511e31118c87c25e707bdc209cbe72.flac,0
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10292/811d05d0d73c34a47b02be1d2458c1be.flac,1
id10292/06877a15e82ca5f2d8f9e54e531fe836.flac,id10273/15928a53d8c6f6097be2a645943e905b.flac,0
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10292/9e59fd33a7636e20c40434e033966329.flac,1
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10293/f5c2d3f9389714dcf3e7a4f203231662.flac,0
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10292/9f35ef2f4d48dcb8fb89bec2e6c9cb2a.flac,1
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10292/cafbd639f11b899d2399e2ac7e258157.flac,1
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10302/fb7fab06aab49a9c094da6ce15b0fbef.flac,0
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10292/8022c00cfec9da8535d48f91b7208ee7.flac,1
id10292/1631f41fac0ae7cab64eb805c0c6a818.flac,id10276/2eb53051880b9701db94aa64f8ea283e.flac,0
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10292/910d2ca4364d5f1aafb37d22a3c077f0.flac,1
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10307/770b4b9144bcc909f85b634c7a1160cf.flac,0
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10292/94285c5e7819e34ba1deae9ded254885.flac,1
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10292/4f17db498764d9924250b43895b8c1cf.flac,1
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10294/f54c5f5d99c4856f9186f9153a6a448e.flac,0
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10292/ae78b29937911127e31002b74061d6e7.flac,1
id10292/805015d9f7e1a5bf462f12b7952c19c0.flac,id10293/7729099c14d60a88565a150bc282f5c8.flac,0
